model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,training_time_seconds,inference_time_seconds
Fine-Tuned DistilBERT,0.9685556323427782,0.9520543053953916,0.9031755414454897,0.9153395203107415,0.9687690384465626,0.9685556323427782,0.9674840451036244,23121.15349869989,445.67144099995494
TF-IDF + Linear SVM,0.8949550794747754,0.8884694361312897,0.8194419718822086,0.8448311754581851,0.89809788598468,0.8949550794747754,0.8946558056223556,3.097238499671221,0.38064870052039623
TF-IDF + Logistic Regression,0.8462335867311679,0.8227893397645871,0.7906526726551403,0.7993708606701821,0.8540076613910829,0.8462335867311679,0.8479174744704884,5.1508879996836185,0.2968559004366398
Zero-Shot DeBERTa (200 samples),0.52,0.4812861070553378,0.46626621721083134,0.4595447031665244,0.5527898518148519,0.52,0.5162392144896247,0.0,8102.396055799909
