model,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1,samples_f1,hamming_loss,training_time_seconds,inference_time_seconds
TF-IDF + Logistic Regression,0.387400434467777,0.6762521725391057,0.49260516775047475,0.3554620282944237,0.5774803048690066,0.42967827897195104,0.5221644874179137,0.5169702633218388,0.058023375187554294,13.499935599975288,0.4346960997208953
TF-IDF + Linear SVM,0.4499100950423838,0.5534839627113288,0.4963513992206872,0.4082521624368586,0.4312081818023739,0.4082173256120423,0.501244507299514,0.4879118516763625,0.046783279370344044,15.583350699860603,0.02794330008327961
