model,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1,samples_f1,hamming_loss,training_time_seconds,inference_time_seconds
TF-IDF + Logistic Regression,0.387400434467777,0.6762521725391057,0.4926051677504747,0.3554620282944237,0.5774803048690066,0.429678278971951,0.5221644874179137,0.5169702633218388,0.0580233751875542,13.499935599975288,0.4346960997208953
TF-IDF + Linear SVM,0.4499100950423838,0.5534839627113288,0.4963513992206872,0.4082521624368586,0.4312081818023739,0.4082173256120423,0.501244507299514,0.4879118516763625,0.046783279370344,15.583350699860604,0.0279433000832796
Bi-LSTM,0.6938555515630614,0.3051034918628535,0.42383669885864794,0.20455265302804362,0.12480449899250042,0.13377327584346269,0.3258558358113189,0.33380627725569684,0.03454947484798231,494.83449809998274,4.591289999894798
